war_name,war_type,start_year,end_year,region,country_name,description,notable_figures
English Armada,battle,1589,1589,Europe,Spain,Failed English counterattack against Spain after the Armada,Francis Drake; Elizabeth I; Philip II
Battle of Sekigahara,battle,1600,1600,Asia,Japan,Decisive battle establishing Tokugawa shogunate dominance,Tokugawa Ieyasu; Ishida Mitsunari
Zulu Wars,war,1879,1879,Africa,South Africa,British campaign against the Zulu Kingdom,Cetshwayo kaMpande; Lord Chelmsford
Opium Wars,war,1839,1860,Asia,China,British wars forcing open Chinese trade and ceding Hong Kong,Lin Zexu; Lord Palmerston; Queen Victoria
Sepoy Mutiny,uprising,1857,1858,Asia,India,Indian soldiers' revolt against British colonial policies,Rani of Jhansi; Bahadur Shah Zafar; Tantia Tope
Boshin War,war,1868,1869,Asia,Japan,Civil war between Tokugawa shogunate and imperial forces,Emperor Meiji; Tokugawa Yoshinobu; Saigo Takamori
Battle of Adwa,battle,1896,1896,Africa,Ethiopia,Ethiopian victory preserving independence from Italian colonization,Emperor Menelik II; General Baratieri
Russo-Turkish War,war,1877,1878,Europe,Russia,Russian war against Ottoman Empire liberating Balkan peoples,Tsar Alexander II; Osman Pasha
First Italo-Ethiopian War,war,1895,1896,Africa,Ethiopia,Italian colonial ambition thwarted by Ethiopian resistance,Emperor Menelik II; General Baratieri
Mau Mau Uprising,uprising,1952,1960,Africa,Kenya,Kenyan revolt against British colonial rule,Dedan Kimathi; Jomo Kenyatta
Portuguese Colonial War,war,1961,1974,Africa,Mozambique,Wars of independence in Portuguese African colonies,Amilcar Cabral; Samora Machel
Bangladesh Liberation War,war,1971,1971,Asia,Bangladesh,War of independence from Pakistan with Indian support,Sheikh Mujibur Rahman; Indira Gandhi
Anglo-Zulu War,war,1879,1879,Africa,South Africa,British imperial campaign against the Zulu Kingdom,King Cetshwayo; Lord Chelmsford; Prince Imperial
Napoleonic Invasion of Russia,war,1812,1812,Europe,Russia,Napoleon's catastrophic campaign into Russia,Napoleon Bonaparte; Mikhail Kutuzov
Peninsular War,war,1807,1814,Europe,Spain,Napoleonic conflict in the Iberian Peninsula,Duke of Wellington; Joseph Bonaparte; Francisco Goya
War of 1812,war,1812,1815,North America,United States,Anglo-American conflict over trade and territory,Andrew Jackson; James Madison; Isaac Brock
Texas Revolution,war,1835,1836,North America,Mexico,Texan revolt leading to independence from Mexico,Sam Houston; Antonio Lopez de Santa Anna; Davy Crockett
Paraguayan War,war,1864,1870,South America,Paraguay,Deadliest war in South American history,Francisco Solano Lopez; Duke of Caxias
Siege of Paris,siege,1870,1871,Europe,France,Prussian siege during the Franco-Prussian War,Leon Gambetta; Otto von Bismarck
Paris Commune,uprising,1871,1871,Europe,France,Revolutionary socialist government in Paris,Louise Michel; Adolphe Thiers
Boxer Protocol,siege,1900,1900,Asia,China,International siege of the Legation Quarter in Beijing,Empress Dowager Cixi; Alfred von Waldersee
Battle of Tsushima,battle,1905,1905,Asia,Japan,Decisive naval battle of the Russo-Japanese War,Admiral Togo; Admiral Rozhestvensky
Second Boer War,war,1899,1902,Africa,South Africa,British campaign against Boer republics using scorched earth tactics,Lord Kitchener; Louis Botha; Paul Kruger
Battle of Tannenberg,battle,1914,1914,Europe,Germany,Early WWI German victory over Russia on the Eastern Front,Paul von Hindenburg; Alexander Samsonov
Battle of Verdun,battle,1916,1916,Europe,France,Longest single battle of WWI symbolizing French determination,Philippe Petain; Erich von Falkenhayn
October Revolution,revolution,1917,1917,Europe,Russia,Bolshevik seizure of power establishing Soviet rule,Vladimir Lenin; Leon Trotsky; Alexander Kerensky
Russian Civil War,war,1917,1922,Europe,Russia,Multi-faction conflict following the Russian Revolution,Leon Trotsky; Alexander Kolchak; Nestor Makhno
Winter War,war,1939,1940,Europe,Finland,Soviet invasion of Finland met with fierce resistance,Carl Gustaf Mannerheim; Simo Hayha
Battle of El Alamein,battle,1942,1942,Africa,Egypt,Allied victory turning the tide in North Africa,Bernard Montgomery; Erwin Rommel
Italian Campaign WWII,war,1943,1945,Europe,Italy,Allied invasion of Italy and long fighting campaign,Mark Clark; Albert Kesselring
Battle of Okinawa,battle,1945,1945,Asia,Japan,Bloodiest battle in the Pacific Theater of WWII,Simon Bolivar Buckner; Mitsuru Ushijima
Partition of India,war,1947,1947,Asia,India,Violent communal conflict during British India's division,Jawaharlal Nehru; Muhammad Ali Jinnah; Lord Mountbatten
First Arab-Israeli War,war,1948,1949,Asia,Israel,War following the establishment of the State of Israel,David Ben-Gurion; King Abdullah I of Jordan
Indo-Pakistani War 1971,war,1971,1971,Asia,India,War resulting in Bangladesh independence,Indira Gandhi; Sam Manekshaw; Yahya Khan
Angolan Civil War,war,1975,2002,Africa,Angola,Proxy Cold War conflict devastating Angola for decades,Jonas Savimbi; Agostinho Neto; Fidel Castro
Mozambican Civil War,war,1977,1992,Africa,Mozambique,Devastating post-independence civil war,Samora Machel; Afonso Dhlakama
Salvadoran Civil War,war,1979,1992,North America,El Salvador,Civil war between government and leftist guerrillas,Oscar Romero; Jose Napoleon Duarte
Invasion of Grenada,war,1983,1983,North America,Grenada,US military intervention overthrowing a Marxist government,Ronald Reagan; Hudson Austin
First Intifada,uprising,1987,1993,Asia,Israel,Palestinian uprising against Israeli occupation,Yasser Arafat; Yitzhak Rabin
Kosovo War,war,1998,1999,Europe,Serbia,NATO intervention against Serbian ethnic cleansing in Kosovo,Slobodan Milosevic; Wesley Clark
War of the Pacific,war,1879,1884,South America,Chile,Conflict between Chile and Bolivia-Peru over resources,Arturo Prat; Andres Avelino Caceres
Chaco War,war,1932,1935,South America,Paraguay,Bloodiest South American conflict of the 20th century,Jose Felix Estigarribia; Hans Kundt
Colombian Conflict,war,1964,2016,South America,Colombia,Decades-long guerrilla war involving FARC and government,Manuel Marulanda; Alvaro Uribe
Peruvian Internal Conflict,war,1980,2000,South America,Peru,Insurgency by Shining Path and government counterinsurgency,Abimael Guzman; Alberto Fujimori
Battle of Cajamarca,battle,1532,1532,South America,Peru,Spanish ambush capturing Inca emperor Atahualpa,Francisco Pizarro; Atahualpa
Norman Conquest of Sicily,war,1061,1091,Europe,Italy,Norman conquest establishing a powerful Mediterranean kingdom,Roger I; Robert Guiscard
Battle of Crecy,battle,1346,1346,Europe,France,English longbow victory during the Hundred Years War,Edward III; Philip VI of France
Battle of Agincourt,battle,1415,1415,Europe,France,English victory against larger French force during Hundred Years War,Henry V; Charles d'Albret
Fall of Granada,siege,1491,1492,Europe,Spain,Final chapter of the Reconquista ending Moorish rule in Iberia,Ferdinand II; Isabella I; Boabdil
Peasants War,uprising,1524,1525,Europe,Germany,Largest popular uprising in European history before the French Revolution,Thomas Muntzer; Martin Luther
Battle of Pavia,battle,1525,1525,Europe,Italy,Imperial victory capturing the French king,Charles V; Francis I
St. Bartholomew Day Massacre,uprising,1572,1572,Europe,France,Mass killing of Huguenots during the French Wars of Religion,Charles IX; Catherine de Medici; Henry of Navarre
Battle of White Mountain,battle,1620,1620,Europe,Czech Republic,Battle triggering the Thirty Years War,Frederick V; Ferdinand II
Glorious Revolution,revolution,1688,1688,Europe,United Kingdom,Bloodless overthrow establishing constitutional monarchy,William of Orange; James II
War of the Triple Alliance,war,1864,1870,South America,Paraguay,Paraguay against Brazil Argentina and Uruguay devastating the country,Francisco Solano Lopez; Emperor Pedro II
Second Italo-Ethiopian War,war,1935,1936,Africa,Ethiopia,Italian fascist invasion and occupation of Ethiopia,Haile Selassie; Benito Mussolini
Battle of Dunkirk,battle,1940,1940,Europe,France,Miraculous Allied evacuation from the beaches of Dunkirk,Lord Gort; Heinz Guderian
Battle of Iwo Jima,battle,1945,1945,Asia,Japan,Iconic Pacific battle famous for the flag-raising photograph,Tadamichi Kuribayashi; Holland Smith
Warsaw Uprising,uprising,1944,1944,Europe,Poland,Polish resistance uprising against Nazi occupation,Tadeusz Bor-Komorowski; Erich von dem Bach
Prague Spring,uprising,1968,1968,Europe,Czech Republic,Reform movement crushed by Soviet-led Warsaw Pact invasion,Alexander Dubcek; Leonid Brezhnev
Yemeni Civil War,war,2014,2025,Asia,Yemen,Ongoing civil war involving regional and international powers,Abd Rabbuh Mansur Hadi; Mohammed Ali al-Houthi
South Sudanese Civil War,war,2013,2020,Africa,South Sudan,Ethnic civil war in the world's newest nation,Salva Kiir; Riek Machar
